drug_no,drug_name
BC24410100,Tarceva Film-Coated tablets 100mg
BC24421100,EFEXOR XR 37.5MG SUSTAINED-RELEASE CAPSULES
BC24427221,Epirubicin Hydrochloride For IV Injection
BC24427240,Epirubicin Hydrochloride For IV Injection
BC24430157,Exelon oral solution
BC24436100,Vesicare film-coated tablets 10mg
BC24437100,Vesicare film-coated tablets 5mg
BC24443248,TYGACIL (TIGECYCLINE) 50MG LYOPHILIZED POWDER
BC24444100,Perofen 600 F.C. Tablets
BC244441G0,PEROFEN 600 F.C. TABLETS
BC24452100,Clarinase 24 Hour Extended Release Tablets
BC24453148,Clenil 250 mcg Pressurised Inhalation Solution
BC24459100,"AVANDAMET F.C.TABLETS 2MG/500MG ""SPAIN"
BC24460100,Apo-Paroxetine 20mg
BC24464100,APO-DIVALPROEX 250MG
BC24472209,Vinorelbine Injection Concentrate
BC24472221,Vinorelbine Injection Concentrate
BC24480100,Fosamax Plus Tablets
BC244881G0,Perofen F.C. Tablets 400mg
BC24489100,MEL-OD 7.5 Tablets(Meloxicam tablets)
BC24492100,Tramazac Capsules (Tramadol HCl Capsules)
BC24497100,OLMETEC FILM COATED TABLETS 20MG
BC24509248,Mycamine for Injection 50mg/vial
BC24514100,Strattera 10mg Hard Capsules
BC24515100,Strattera 18mg Hard Capsules
BC24516100,Strattera 25mg Hard Capsules
BC24517100,Strattera 40mg Hard Capsules
BC24518100,Strattera 60mg Hard Capsules
BC24519255,SMOFLIPID 20% EMULSION FOR INFUSION
BC24519265,SMOFLIPID 20% EMULSION FOR INFUSION
BC24519277,SMOFLIPID 20% EMULSION FOR INFUSION
BC24521100,"OLMETEC PLUS 20/25MG, FILM COATED TABLETS"
BC24524100,MELOX 15mg Tablets
BC245282CN,"Diphereline  P.R. 11.25 mg, Powder and Solvent for Suspension for Injection"
BC24530100,pms-MIRTAZAPINE Tablets 30mg
BC24532100,Trandate Tablets 200mg
BC24539100,Risperdal Film Coated Tablets 4mg
BC24544100,TRIAPIN 5MG SLOW-RELEASE TABLETS
BC24545100,Serlin 50 Tablets
BC24555100,APTIVUS CAPSULES 250MG
BC24557248,Ciprofloxacin Claris IV Infusion 0.2% w/v
BC24557255,Ciprofloxacin Claris IV Infusion 0.2% w/v
BC24557263,Ciprofloxacin Claris IV Infusion 0.2% w/v
BC24560100,Kaletra Tablets
BC24563229,"ELOXATIN 5MG/ML,CONCENTRATE FOR SOLUTION FOR INFUSION"
BC24563238,"ELOXATIN 5MG/ML,CONCENTRATE FOR SOLUTION FOR INFUSION"
BC24563245,"ELOXATIN 5MG/ML,CONCENTRATE FOR SOLUTION FOR INFUSION"
BC24565277,CUBICIN INJECTION
BC24570100,UROCIT-K 10MEQ TABLET
BC24580100,Ultidep 20 Tablets
BC24583321,BIFONA-Z CREAM
BC24583329,BIFONA-Z CREAM
BC24583335,BIFONA-Z CREAM
BC24584100,GLUCOPHAGE FILM-COATED TABLETS 850MG
BC24585309,DIVIGEL 0.1% GEL
BC24592100,BLOPRESS 16MG PLUS 12.5MG TABLETS
BC24593100,SUTENT CAPSULES 12.5MG
BC24594100,SUTENT CAPSULES 25MG
BC24595100,SUTENT CAPSULES 50MG
BC24597100,CRESTOR 5MG FILM-COATED TABLETS
BC24601100,Apo-Divalproex Tablets 500mg
BC24603100,Exjade 125mg dispersible tablets
BC24611100,ASACOL 800MG GASTRO-RESISTANT TABLETS
BC24622100,REVATIO 20MG FILM-COATED TABLETS
BC24625212,Irinotel Injection
BC24625221,Irinotel Injection
BC24626100,Apo-Zopiclone Tablets 7.5mg
BC246291G0,Cinnaron 25 Tablets
BC24630216,BONVIVA 3MG/3ML SOLUTION FOR INJECTION
BC24634100,LOSACAR 50 TABLETS
BC24638221,FYTOSID FOR IV INJECTION
BC24643100,HYZAAR FC TABLETS 100/12.5 MG
BC24645100,Diovan Film-Coated Tablets 40mg
BC24646100,BLOPRESS 8MG PLUS 12.5MG TABLETS
BC24651161,KEPPRA ORAL SOLUTION 100MG/ML
BC24651166,KEPPRA ORAL SOLUTION 100MG/ML
BC24655100,Diovan film-coated tablets 320 mg
BC24656112,ZMAX EXTENDED-RELEASE POWDER FOR ORAL SUSPENSION
BC24657421,EQUITON EYE-DROPS
BC24662100,SEBIVO 600MG FILM-COATED TABLETS
BC24667100,JANUVIA 50 MG F.C. TABLETS
BC24668100,JANUVIA 100 MG F.C. TABLETS
BC24677100,Stilnox CR Tablet 6.25 mg
BC24679209,“BAXTER” OLICLINOMEL N4-550E EMULSION FOR INFUSION
BC24679210,“BAXTER” OLICLINOMEL N4-550E EMULSION FOR INFUSION
BC24679212,“BAXTER” OLICLINOMEL N4-550E EMULSION FOR INFUSION
BC24690100,VIREAD TABLETS
BC24692255,ACLASTA 5MG/100ML SOLUTION FOR INFUSION
BC24701248,OXITAN LYOPHILIZED POWDER FOR INJECTION
BC24701255,OXITAN LYOPHILIZED POWDER FOR INJECTION
BC24702100,LEPAX FILM-COATED TABLETS 5MG
BC24708100,Eltroxin Tablets 100mcg 〝Germany〞
BC24725100,ACERTIL FILM-COATED TABLETS 5 MG
BC24727100,Nexavar film-coated tablets 200mg
BC24730100,Isosorbide Mononitrate Extended-Release Tablets
BC24731100,INVEGA EXTENDED RELEASE TABLETS 6MG
BC24732100,INVEGA EXTENDED RELEASE TABLETS 3MG
BC24738221,INTAXEL INJECTION
BC24738248,INTAXEL INJECTION
BC247382BE,INTAXEL INJECTION
BC247382FG,INTAXEL INJECTION
BC24742100,COAPROVEL FILM-COATED TABLETS 300MG/25MG
BC24743321,BENCORT CREAM
BC24743329,BENCORT CREAM
BC24743335,BENCORT CREAM
BC24750100,"LUVOX 50, FILM-COATED TABLETS"
BC24758255,ERAXIS FOR INJECTION 100MG
BC24762221,ANTHRACIN FOR IV INJECTION
BC24762240,ANTHRACIN FOR IV INJECTION
BC24764100,PREZISTA FILM COATED TABLETS 300MG
BC24766414,"DUOTRAV eye drops, solution"
BC24769100,Truvada Tablets
BC24770100,Certican 0.25mg tablets
BC24771100,Certican 0.75mg tablets
BC24772100,Certican 0.5mg tablets
BC24780100,"AVANDIA F.C. TABLET 4MG ""SPAIN"
BC24785221,ALOXI SOLUTION FOR INJECTION
BC24786151,ALVESCO 160 INHALER
BC24789255,Metronidazole Injection USP 0.5% w/v
BC24790209,Ceftriaxone Sandoz powder for IV Injection
BC24790212,Ceftriaxone Sandoz powder for IV Injection
BC24790277,Ceftriaxone Sandoz powder for IV Injection
BC24791100,XET 20 TABLETS
BC24792321,TAMICORT CREAM
BC24792329,TAMICORT CREAM
BC24792336,TAMICORT CREAM
BC24792338,TAMICORT CREAM
BC24794100,SPRYCEL FILM-COATED TABLETS 50MG
BC247973AI,DUROGESIC D-TRANS TRANSDERMAL PATCH 100 MCG/H
BC24800100,SPRYCEL TABLETS 70MG
BC24804235,KEMOCARB INJECTION
BC248042AP,KEMOCARB INJECTION
BC24806316,CYCLOVAX 5% CREAM
BC24806317,CYCLOVAX 5% CREAM
BC24806321,CYCLOVAX 5% CREAM
BC24806326,CYCLOVAX 5% CREAM
BC24811255,Ciprofloxacin Injection
BC24813100,SPRYCEL FILM-COATED TABLETS 20MG
BC24823100,Exforge film-coated tablet 10/160mg
BC24824100,Exforge film-coated tablet 5/80mg
BC24827100,FLUCOZYD 200 CAPSULES
BC24829210,CAPD/DPCA 19 SOLUTION FOR PERITONEAL DIALYSIS
BC24829212,CAPD/DPCA 19SOLUTION FOR PERITONEAL DIALYSIS
BC24829214,CAPD/DPCA 19 SOLUTION FOR PERITONEAL DIALYSIS
BC24829221,CAPD/DPCA 19 SOLUTION FOR PERITONEAL DIALYSIS
BC24830210,CAPD/DPCA 17 SOLUTION FOR PERITONEAL DIALYSIS
BC24830212,CAPD/DPCA 17 SOLUTION FOR PERITONEAL DIALYSIS
BC24830214,CAPD/DPCA 17 SOLUTION FOR PERITONEAL DIALYSIS
BC24830221,CAPD/DPCA 17 SOLUTION FOR PERITONEAL DIALYSIS
BC24831212,CAPD/DPCA 18 SOLUTION FOR PERITONEAL DIALYSIS
BC24831214,CAPD/DPCA 18 SOLUTION FOR PERITONEAL DIALYSIS
BC24831221,CAPD/DPCA 18 SOLUTION FOR PERITONEAL DIALYSIS
BC24834100,Tasigna Capsules 200 mg
BC24839100,ACTOSMET 15/850MG FILM COATED TABLETS
BC248403CM,DUROGESIC D-TRANS TRANSDERMAL PATCH 75 ΜCG/H
BC24841311,DUROGESIC D-TRANS TRANSDERMAL PATCH 25 ΜCG/H
BC248423CS,DUROGESIC D-TRANS TRANSDERMAL PATCH 50MCG/H
BC24844255,Fluconazole Infusion
BC24846209,GEMITA FOR I.V. LYOPHILIZED INJECTION
BC24846263,GEMITA FOR I.V. LYOPHILIZED INJECTION
BC248491C5,"SERETIDE 50/500 ACCUHALER, INHALATION POWDER"
BC24850248,OXALIPLATINE-MYLAN 5MG/ML POWDER FOR SOLUTION FOR INFUSION
BC24850255,OXALIPLATINE-MYLAN 5MG/ML POWDER FOR SOLUTION FOR INFUSION
BC24853297,TORISEL CONCENTRATE AND DILUENT FOR SOLUTION FOR INFUSION
BC24855100,ACERTIL FILM-COATED TABLETS 10 MG
BC24856100,VOMIZ 8 TABLETS
BC24857109,Ulban A Gran.
BC24863100,CLOPIDOGREL WINTHROP FILM-COATED TABLETS
BC24868100,ZYSIM 80 TABLETS
BC24869277,HESTAR-200 PENTASTARCH 10%
BC248703B9,DUROGESIC D-TRANS TRANSDERMAL PATCH 12 ΜCG/H
BC24874255,Alimta for Injection 100mg
BC24876100,AMARYL M FILM-COATED TABLETS 2/500MG
BC248774FK,AVAMYS NASAL SPRAY
BC24878100,Tykerb tablets 250mg
BC24883100,RASILEZ FILM-COATED TABLET 300MG
BC24884100,RASILEZ FILM-COATED TABLET 150MG
BC24885100,SEROQUEL XR TM 400 MG EXTENDED-RELEASE TABLETS
BC24886100,SEROQUEL XR TM 300 MG EXTENDED-RELEASE TABLETS
BC24887100,SEROQUEL XR TM 200 MG EXTENDED-RELEASE TABLETS
BC24894100,ADVAGRAF 0.5MG PROLONGED-RELEASE HARD CAPSULES
BC24895100,ADVAGRAF 5MG PROLONGED-RELEASE HARD CAPSULES
BC24896100,ADVAGRAF 1MG PROLONGED-RELEASE HARD CAPSULES
BC24898100,AMLODAC 5 TABLETS
BC248992A5,NUTRIFLEX LIPID PERI 1250ML
BC248992BH,NUTRIFLEX LIPID PERI 1875ML
BC249012A5,NUTRIFLEX LIPID SPECIAL 1250ML
BC24919255,LIPOPLUS 20%
BC24919265,LIPOPLUS 20%
BC24920212,"BALANCE 2.3% GLUCOSE, 1.25 MMOL/L CALCIUM, SOLUTION FOR PERITONEAL DIALYSIS"
BC24920214,"BALANCE 2.3% GLUCOSE, 1.25 MMOL/L CALCIUM, SOLUTION FOR PERITONEAL DIALYSIS"
BC24920221,"BALANCE 2.3% GLUCOSE, 1.25 MMOL/L CALCIUM, SOLUTION FOR PERITONEAL DIALYSIS"
BC24921212,"BALANCE 4.25% GLUCOSE, 1.25 MMOL/L CALCIUM, SOLUTION FOR PERITONEAL DIALYSIS"
BC24921214,"BALANCE 4.25% GLUCOSE, 1.25 MMOL/L CALCIUM, SOLUTION FOR PERITONEAL DIALYSIS"
BC24921221,"BALANCE 4.25% GLUCOSE, 1.25 MMOL/L CALCIUM, SOLUTION FOR PERITONEAL DIALYSIS"
BC24922212,"BALANCE 1.5% GLUCOSE, 1.25 MMOL/L CALCIUM, SOLUTION FOR PERITONEAL DIALYSIS"
BC24922214,"BALANCE 1.5% GLUCOSE, 1.25 MMOL/L CALCIUM, SOLUTION FOR PERITONEAL DIALYSIS"
BC24922221,"BALANCE 1.5% GLUCOSE, 1.25 MMOL/L CALCIUM, SOLUTION FOR PERITONEAL DIALYSIS"
BC24923100,METOZ 5 TABLETS
BC24926355,PENTASA ENEMAS 1G/100ML
BC24927100,CELSENTRI FILM-COATED TABLETS 150MG
BC24928100,CELSENTRI FILM-COATED TABLETS 300MG
BC24929100,SEVIKAR 5/20MG FILM COATED TABLETS
BC24933312,NEUPRO TRANSDERMAL PATCH 2MG/24H
BC24934319,NEUPRO TRANSDERMAL PATCH 4MG/24H
BC24935323,NEUPRO TRANSDERMAL PATCH 6MG/24H
BC24936326,NEUPRO TRANSDERMAL PATCH 8MG/24H
BC24947100,OTSUKA ABILIFY DISCMELT 10MG ORALLY DISINTEGRATING TABLETS
BC24958100,DACTIVE 10 TABLETS
BC24961109,"PENTASA SACHET, PROLONGED RELEASE GRANULES, 1G"
BC24962112,"PENTASA SACHET, PROLONGED RELEASE GRANULES, 2G"
BC24967100,Carvedilol HEXAL Tablets 25mg
BC24968100,Co-Diovan 320/25 Film-Coated Tablet
BC24969100,Co-Diovan 320/12.5 Film-Coated Tablet
BC24970238,KEMOPLAT INJECTION
BC24970255,KEMOPLAT INJECTION
BC24976100,Mirtazapine Sandoz 30 mg Orodispersible Tablets
BC24977414,Mikelan LA Ophthalmic Solution 2%
BC24978414,Mikelan LA Ophthalmic Solution 1%
BC24979100,APO-METHYLPHENIDATE TABLETS 20MG
BC24988100,ISENTRESS FILM COATED TABLETS 400 MG
BC24989100,Stalevo Film-Coated Tablets 200/50/200mg
BC24991129,NEXIUM 10MG GASTRO-RESISTANT GRANULES FOR ORAL SUSPENSION
BC24995100,LYRICA HARD CAPSULE 75MG
BC24998100,OTSUKA ABILIFY DISCMELT 15MG ORALLY DISINTEGRATING TABLETS
BC25001100,SEROQUEL XR TM 50 MG EXTENDED-RELEASE TABLETS
BC25004213,BYETTA INJECTION 0.25 MG/ML“USA”
BC25004297,BYETTA INJECTION 0.25 MG/ML“USA”
BC25005100,OLMETEC FILM COATED TABLETS 40MG
BC25006321,Bencort Cream
BC25006329,Bencort Cream
BC25006335,Bencort Cream
BC25013351,CLOBEX 500ΜG/G SHAMPOO
BC25013358,CLOBEX 500ΜG/G SHAMPOO
BC25016100,APO-METHYLPHENIDATE Tablets 10mg
BC25020100,MINIRIN MELT 120 ΜCG
BC25021100,MINIRIN MELT 60 UG
BC25033161,"SPIRIVA RESPIMAT 2.5MCG, SOLUTION FOR INHALATION"
BC25034100,APO-CLOPIDOGREL 75MG FILM-COATED TABLET
BC25040100,JANUMET 50/1000 MG FILM-COATED TABLETS
BC25041100,JANUMET 50/850 MG FILM-COATED TABLETS
BC25043100,JANUMET 50/500 MG FILM-COATED TABLETS
BC25045100,PRETERAX 2.5 MG/0.625 MG
BC25046100,ACERTIL PLUS 5 MG/1.25 MG
BC25059100,Mirtazapine Sandoz 45 mg Orodispersible Tablets
BC25061151,SOLIAN ORAL SOLUTION 100MG/ML
BC25065100,Topiramate Sandoz FC Tablets 100mg
BC25066265,FINIBAX FOR INJECTION 0.25G
BC25068248,LEVOX IV SOLUTION FOR INFUSION
BC25068255,LEVOX IV SOLUTION FOR INFUSION
BC25070100,Carvedilol HEXAL Tablets 12.5mg
BC25071100,Tarceva Film-coated tablets 150mg“Italy”
BC25072100,Exforge film-coated tablet 5/160mg
BC25073100,LEXAPRO FILM-COATED TABLETS 15MG
BC25074100,LEXAPRO FILM-COATED TABLETS 20MG
BC25075255,FLUCONAZOLE INJECTION
BC25075263,FLUCONAZOLE INJECTION
BC25077100,Tarceva Film-coated tablets 100mg“Italy”
BC25078100,LAMIDUS 50 TABLETS
BC25079277,TETRASPAN 10% SOLUTION FOR INFUSION
BC25080277,TETRASPAN 6% SOLUTION FOR INFUSION
BC25081100,INTELENCE TABLETS 100MG
BC25087100,PMS-BICALUTAMIDE 50MG F.C. TABLETS
BC25090100,LEPAX FILM-COATED TABLETS 10MG
BC25091277,VOLULYTE 6% SOLUTION FOR INFUSION
BC250921FL,FOSTER
BC25093100,ZYTHROCIN 250 TABLETS
BC25095100,BLOPRESS TABLETS 16 MG
BC25098100,RAMEY 10 TABLETS
BC25103321,TAMICORT CREAM
BC25103329,TAMICORT CREAM
BC25103336,TAMICORT CREAM
BC25103338,TAMICORT CREAM
BC25106100,Wellbutrin XL 150 mg Tablet “Canada”
BC25113255,Exomax IV Injection
BC25114100,Clopidogrel Sandoz 75 mg Film-coated Tablets
BC25115421,"Azarga Eye drops, suspension"
BC25118100,REQUIP PD 2MG PROLONGED RELEASE TABLET
BC25119100,REQUIP PD 4MG PROLONGED RELEASE TABLET
BC25120100,REQUIP PD 8MG PROLONGED RELEASE TABLET
BC25126206,"ARIXTRA 2.5MG/0.5ML SOLUTION FOR INJECTION ,PRE-FILLED SYRINGE"
BC25129100,Xarelto film-coated tablets 10mg
BC25132297,MOXICLAV 1200MG POWDER FOR INJECTION
BC25143100,TROZET FILM-COATED TABLETS 2.5 MG
BC25144100,Topiramate Sandoz FC Tablets 25mg
BC25145100,Topiramate Sandoz FC Tablets 50mg
BC251502FF,SMOFKABIVEN PERIPHERAL EMULSION FOR INFUSION
BC251502FN,SMOFKABIVEN PERIPHERAL EMULSION FOR INFUSION
BC25158100,INVEGA EXTENDED RELEASE TABLETS 9MG
BC25159343,XAMIOL GEL
BC25160100,Wellbutrin XL 300mg Tablets
BC25161100,CO-RASILEZ 150/25MG FILM-COATED TABLETS
BC25162100,CO-RASILEZ 150/12.5MG FILM-COATED TABLETS
BC25163100,CO-RASILEZ 300/12.5MG FILM-COATED TABLETS
BC25164100,CO-RASILEZ 300/25MG FILM-COATED TABLETS
BC25165100,Afinitor 5mg tablets
BC25166100,Afinitor 10mg Tablets
BC25172265,AMINOPLASMAL NEO 5% E
BC25172277,AMINOPLASMAL NEO 5% E
BC25173277,AMINOPLASMAL NEO 10%
BC25174277,AMINOPLASMAL NEO 10% E
BC25179209,BFLUID INJECTION
BC25179277,BFLUID INJECTION
BC25182100,Metfogamma 850mg Film Coated Tablets
BC25183209,DBL GEMCITABINE FOR INJECTION
BC25183263,DBL GEMCITABINE FOR INJECTION
BC25184100,IRBESARTAN WINTHROP FILM-COATED TABLETS 150MG
BC25185100,IRBESARTAN WINTHROP FILM-COATED TABLETS 300MG
BC25192100,PREZISTA TABLETS 600MG
BC251932CN,LEUPLIN DEPOT 3M 11.25MG S.C. INJECTION
BC25197100,TAREG 160MG FILM COATED TABLETS
BC25198100,Amlodipine Sandoz 10 mg Tablets
BC25199100,Amlodipine Sandoz 5 mg Tablets
BC25202100,Amlodipine besilate - Teva 5mg Tablets
BC252032BJ,SMOFKABIVEN EMULSION FOR INFUSION
BC252032FB,SMOFKABIVEN EMULSION FOR INFUSION
BC252032FC,SMOFKABIVEN EMULSION FOR INFUSION
BC252032FD,SMOFKABIVEN EMULSION FOR INFUSION
BC25205100,ATRIPLA TABLETS
BC25206100,BYPRO FILM-COATED TABLETS 50 MG
BC25207100,CO-TAREG FILM COATED TABLETS 80/12.5MG
BC25208100,CO-TAREG FILM COATED TABLETS 160/12.5MG
BC25209100,ZYDUS TOPIRAMATE TABLETS 100 MG
BC25210100,TAREG 80MG FILM COATED TABLETS
BC25211100,ZYSIM 10 TABLETS
BC25214100,REVLIMID CAPSULES 25MG
BC25215100,REVLIMID CAPSULES 15MG
BC25216100,REVLIMID CAPSULES 10MG
BC25217100,REVLIMID CAPSULES 5MG
BC25218100,ZYDUS ARIPIPRAZOLE TABLETS 10 MG
BC25219166,Sebivo Oral Solution 20mg/ml
BC25220100,ONGLYZA FILM-COATED TABLETS 2.5MG
BC25221100,ONGLYZA FILM-COATED TABLETS 5MG
BC25222100,CLOPILET
BC25224100,MULTAQ 400MG FILM-COATED TABLETS
BC252251G0,REMETHAN 25 EC TABLETS
BC252261G0,REMETHAN 50 EC TABLETS
BC25227221,Dopamine HCl-Fresenius 200mg/5ml Infusion
BC25232100,ZYVERIN 200MG CAPSULES
BC252343FA,EXELON PATCH 5
BC25242100,TS-1 CAPSULES 25MG
BC25243100,TS-1 CAPSULES 20MG
BC25244100,HYCAMTIN CAPSULES 0.25MG
BC25245100,HYCAMTIN CAPSULES 1MG
BC25246243,TAKEPRON INTRAVENOUS 30MG
BC25248143,"APO-RISPERIDONE SOLUTION, 1MG/ML"
BC25249100,CILOSTAZOL TABLETS 50MG
BC25250220,Piperacillin/Tazobactam Sandoz powder for injection
BC252502CX,Piperacillin/Tazobactam Sandoz powder for injection
BC25251100,AREMED 1 FC TABLETS
BC25253100,MIRAPEX 0.75MG PROLONGED-RELEASE TABLETS
BC25257100,Estelle-35 Film Coated Tablets
BC25258100,MIRAPEX 0.375MG PROLONGED-RELEASE TABLETS
BC25259100,MIRAPEX 3.0MG PROLONGED-RELEASE TABLETS
BC25260100,MIRAPEX 1.5MG PROLONGED-RELEASE TABLETS
BC25261100,MIRAPEX 4.5MG PROLONGED-RELEASE TABLETS
BC25262100,Venlafaxine Sandoz 150mg prolonged release Capsules
BC25272100,Revolade film-coated tablets 25mg
BC25274194,POSANOL 40 MG/ML ORAL SUSPENSION
BC25278212,Pancuronium Bromide-Fresenius 4mg/2ml Injection
BC25279100,OLANDUS 10 TABLETS (OLANZAPINE TABLETS)
BC25280221,LIGNOCAINE HCL-FRESENIUS INJECTION 2 %
BC25282443,"Onbrez Breezhaler 150 mcg inhalation powder, hard capsule"
BC25286100,PREZISTA TABLETS 400MG
BC25288100,ANASTROZOLE TABLETS 1 MG
BC25289209,TAXOTERE 20MG/ML CONCENTRATE FOR SOLUTION FOR INFUSION
BC25289219,TAXOTERE 20MG/ML CONCENTRATE FOR SOLUTION FOR INFUSION
BC25290100,AMISULPRIDE WINTHROP TABLETS 50MG
BC25291100,AMISULPRIDE WINTHROP TABLETS 200MG
BC25294416,LUMIGAN OPHTHALMIC SOLUTION 0.01%
BC25296100,SAMSCA TABLETS 15MG
BC25302166,DUPHALAC ORAL SOLUTION
BC25302177,DUPHALAC ORAL SOLUTION
BC25306100,GALVUS TABLETS 50MG
BC25308100,BIGSENS-XR 500 TABLETS
BC25310100,CURAM 625MG DISPERSIBLE TABLETS
BC25311100,CURAM 1000MG DISPERSIBLE TABLETS
BC25316221,KEPPRA CONCENTRATE FOR SOLUTION FOR INFUSION 100MG/ML
BC25317100,Tasigna Capsules 150mg
BC25321100,MYCOPHENOLATE SANDOZ 500 MG FILM-COATED TABLETS
BC25322219,LEVOPHED INJECTION
BC25326100,COPLAVIX FILM COATED TABLETS 75MG/100MG
BC25332100,RITALIN LA CAPSULES 10MG
BC25333100,RITALIN LA CAPSULES 20MG
BC25334100,RITALIN LA CAPSULES 30MG
BC25335100,RITALIN LA CAPSULES 40MG
BC25336100,Venlafaxine Sandoz 75mg prolonged release Capsules
BC25338220,DBL PIPERACILLIN AND TAZOBACTAM FOR INJECTION
BC253382CX,DBL PIPERACILLIN AND TAZOBACTAM FOR INJECTION
BC25342100,ZYDUS IRBESARTAN TABLETS USP 150 MG
BC25350100,LIVALO TABLETS 2MG
BC25351100,"MEZAVANT XL, 1200MG GASTRO-RESISTANT, PROLONGED RELEASE TABLETS"
BC25352100,Madopar 125 Capsules“Italy”
BC25360200,OZURDEX (DEXAMETHASONE INTRAVITREAL IMPLANT) 0.7MG
BC25364100,APO-ALENDRONATE 70MG TABLETS
BC25369100,ZYDUS ESCITALOPRAM OXALATE TABLETS 10 MG
BC25377414,TAFLOTAN OPHTHALMIC SOLUTION
BC25386221,"PRISMASOL 4MMOL/LPOTASSIUM,SOLUTION FOR HAEMOFILTRATION AND HAEMODIALYSIS"
BC25387221,"PRISMASOL B0,SOLUTION FOR HAEMOFILTRATION AND HAEMODIALYSIS"
BC25388221,"PRISMASOL 2MMOL/LPOTASSIUM,SOLUTION FOR HAEMOFILTRATION AND HAEMODIALYSIS"
BC25391100,CATAPRES TABLETS 75 μg
BC25394206,INVEGA SUSTENNA PROLONGED RELEASE SUSPENSION FOR INTRAMUSCULAR INJECTION 100MG/
BC25394207,INVEGA SUSTENNA PROLONGED RELEASE SUSPENSION FOR INTRAMUSCULAR INJECTION 100MG/
BC25394209,INVEGA SUSTENNA PROLONGED RELEASE SUSPENSION FOR INTRAMUSCULAR INJECTION 100MG/
BC25394210,INVEGA SUSTENNA PROLONGED RELEASE SUSPENSION FOR INTRAMUSCULAR INJECTION 100MG/
BC25401255,Innomustine Injection
BC25409100,PERINDOPRIL SANDOZ 4MG TABLET
BC25410403,COSOPT PRESERVATIVE-FREE OPHTHALMIC SOLUTION
BC25413100,HARNALIDGE OCAS PROLONGED RELEASE TABLETS 0.4 MG
BC25414221,SUCROFER INJECTION
BC25416100,TRAMAZAC XL 200 TABLETS
BC25418100,Exforge HCT Film Coated Tablets 5/160/25 mg
BC25419100,Exforge HCT Film Coated Tablets 5/160/12.5 mg
BC25420100,Exforge HCT Film Coated Tablets 10/160/12.5 mg
BC25421100,Exforge HCT Film Coated Tablets 10/160/25 mg
BC25423100,DUODART CAPSULES
BC25427100,FEBURIC 80 MG FILM COATED TABLETS
BC25429100,MIRAPEX PROLONGED-RELEASE TABLETS 2.25MG
BC25430100,MIRAPEX PROLONGED-RELEASE TABLETS 3.75MG
BC25433100,Votrient (Pazopanib HCl) film-coated tablets 200mg
BC25440100,VIMOVO DELAYED RELEASE TABLETS 500MG/20MG
BC25442100,RAPAMUNE TABLETS 0.5 MG
BC25444100,TWYNSTA TABLETS 40/5 MG
BC25445100,TWYNSTA TABLETS 40/10 MG
BC25446100,TWYNSTA TABLETS 80/5 MG
BC25447100,TWYNSTA TABLETS 80/10 MG
BC25451100,VALDOXAN FILM-COATED TABLETS 25MG
BC25452100,Apo-Tramadol/ Acet 37.5/ 325mg tablets
BC25453100,KOMBIGLYZE XR TABLETS 5MG/1000MG
BC25454100,KOMBIGLYZE XR TABLETS 5MG/500MG
BC25455100,KOMBIGLYZE XR TABLETS 2.5MG/1000MG
BC25458100,PRADAXA CAPSULES 150 MG
BC25459100,PRADAXA CAPSULES 110 MG
BC25465100,APO-QUETIAPINE TABLETS 300MG
BC25466100,APO-QUETIAPINE TABLETS 200MG
BC25467100,APO-QUETIAPINE TABLETS 25MG
BC25472238,EVOLTRA CONCENTRATE FOR SOLUTION FOR INFUSION
BC25473100,NORVIR FILM-COATED TABLETS 100 MG
BC25480100,Galvus Met 50/500 film-coated tablets
BC25481100,Galvus Met 50/850 film-coated tablets
BC25482100,Galvus Met 50/1000 film-coated tablets
BC25486100,ZYDUS OXCARBAZEPINE TABLETS 300MG
BC25489209,VINELBINE INJECTION
BC25489221,VINELBINE INJECTION
BC25492100,SEVIKAR HCT 20/5/12.5MG
BC25493100,SEVIKAR HCT 40/5/25MG
BC25494100,SEVIKAR HCT 40/5/12.5MG
BC25495100,SEVIKAR HCT 40/10/12.5MG
BC25496100,SEVIKAR HCT 40/10/25MG
BC25501100,LOSACAR-H TABLETS
BC25508100,APO-ESCITALOPRAM 20MG TABLETS
BC25509100,TEMAZO CAPSULES 20MG
BC25510100,TEMAZO CAPSULES 250MG
BC25515221,"Epirubicin ""Ebewe"" 2mg/ml concentrate for solution for infusion"
BC25515240,"Epirubicin ""Ebewe"" 2mg/ml concentrate for solution for infusion"
BC25518100,AKURIT-4
BC25519100,AKURIT-3
BC25522261,EMEND IV 150MG POWDER FOR INJECTION
BC25533100,ELTROXIN TABLETS 50 MCG
BC25537100,TRAJENTA 5MG FILM-COATED TABLETS
BC25551229,DBL OXALIPLATIN CONCENTRATE FOR INFUSION
BC25551238,DBL OXALIPLATIN CONCENTRATE FOR INFUSION
BC255532A5,NUTRIFLEX OMEGA SPECIAL
BC25556100,DUOVIR-N
BC25557229,GLYPRESSIN 0.1MG/ML SOLUTION FOR INJECTION
BC25558212,Docetaxel“Ebewe”10 mg/ml Concentrate for Solution for Infusion
BC25558226,Docetaxel“Ebewe”10 mg/ml Concentrate for Solution for Infusion
BC25559217,VELCADE POWDER FOR SOLUTION FOR INJECTION
BC25563277,Cymevene Lyophilized IV Injection 500mg/Vial
BC25589100,LOSACAR 100 TABLETS
